algorithm,variant,n,mean_energy,std_energy,mean_duration,std_duration,trials
Fib,Tail_Recursive,15,5.917018300991643e-09,5.434653855232349e-10,0.0010701999000350766,0.00010073040917462877,30
Fib,Tail_Recursive,20,6.08140806502046e-09,2.5684156279582755e-10,0.0010915098333497966,3.099114676771288e-05,30
Fib,Tail_Recursive,25,6.206890830071643e-09,5.051233251348678e-10,0.00110757806784624,7.07231980369394e-05,30
Fib,Tail_Recursive,30,6.145722915486355e-09,3.422615134065009e-10,0.0010978051383668667,5.129731594004862e-05,30
Fib,Tail_Recursive,35,6.048577381281777e-09,7.385737851785063e-10,0.0010760837651711099,0.0001226017900105061,30
Fib,Unoptimized_Recursive,10,6.208299797705237e-09,2.4464732911524165e-10,0.0011108894017524535,4.231770967001766e-05,30
Fib,Unoptimized_Recursive,15,7.54424671497502e-09,1.8749450640321404e-10,0.0012539961685736469,2.3684687415746574e-05,30
Fib,Unoptimized_Recursive,20,2.170680327994719e-08,1.9525305836254766e-09,0.0027577313022144234,0.0002431684364435345,30
Fib,Unoptimized_Recursive,25,1.1611520478052425e-07,1.1189598326318944e-08,0.013035687164907913,0.0013339082803703098,30
Fib,Unoptimized_Recursive,30,1.0819955020519114e-06,3.107004914304269e-08,0.11994783803335542,0.003436890772368311,30
Fib,Unoptimized_Recursive,35,1.0683453647039573e-05,7.850694194775198e-08,1.1835508818660552,0.008701392687024963,30
Hanoi,Iterative,15,1.0511707218904998e-07,5.326710908607873e-09,0.01178184462963444,0.0006040301010879113,30
Hanoi,Iterative,18,6.71719729757401e-07,2.2792650479165376e-08,0.07451708700003408,0.0025289661008611234,30
Hanoi,Iterative,20,2.550840236279462e-06,4.8396734003478395e-08,0.2826784159677724,0.0053599460898695805,30
Hanoi,Iterative,22,1.0072979108480029e-05,1.4789910649910573e-07,1.1159464693017072,0.01638460785244187,30
Hanoi,Recursive,15,4.6361276205667914e-08,1.6383852990676902e-09,0.0052733688983910565,0.00018938209027805132,30
Hanoi,Recursive,18,3.229369424183527e-07,2.4744815187271915e-08,0.03589712866426751,0.002754560172420039,30
Hanoi,Recursive,20,1.1082335457319492e-06,2.561475524166334e-08,0.12287214890141812,0.0028404246179617935,30
Hanoi,Recursive,22,4.276543416616968e-06,3.54391119322264e-08,0.47383256793449013,0.00392525846490078,30
